Abba,Super Trouper,1979,cd,pop,
Abba,Super Trouper,1980,vinyl,pop,
Abba,The victors,1981,vinyl,pop,
Abba,The Visitors,1982,cd,pop,
Abba,The hits,1988,cd,pop,
Abba,Agnetha & Frida,1994,cd,pop,
Abba,The Albums (Black Box),2008,cd,pop,
ABC,Lexicon of love,1982,vinyl,pop,
About Last Night,About last night,1986,cd,soundtrack,
Absolute Reggeae,Various Artists,1999,cd,Reggae,
Absolute Zero,Never surrender,2000,cd,aor,
Abused Romance,Shine,2011,cd,modern rock,
Academy Is (The),Fast times at barrington high,2008,cd,modern rock,
Accent,Here we are,2015,cd,accapella,
Across The Universe,Across The Universe,2007,cd,soundtrack,
Act,Today's Report,1999,cd,prog,
Act,Imaginary Friends,2001,cd,prog,
Act,Promo EP,2001,cd,prog,
Act,Today's Report,2003,cd,prog,
Act,Last epic,2003,cd,prog,
